platform,source_market_id,event_id,title,category,yes_bid,yes_ask,no_bid,no_ask,volume,liquidity,close_time,status,pulled_at
polymarket,0x5b70123b2c37355840b38bc60752919dae7ca5fe11d5e5184aa69be01b9db458,16183,Kraken IPO in 2025?,,,0.002,0.998,,494516.53254,,2025-12-31T12:00:00Z,closed,2026-09-04T18:54:32.037765+00:00
polymarket,0x9b3c3177fe473124c756b01e123b4b03e3a99880844ed8dea21b0a7879ca04aa,16183,"Kraken IPO by March 31, 2026?",,,0.001,0.999,,545638.9248109999,,2026-04-01T04:00:00Z,closed,2026-09-04T18:54:32.037765+00:00
polymarket,0xe1779ab59d1c8472852a843d3b6f69e7921c4c34d4f778b6be0e9b468986f45f,16183,"Kraken IPO by December 31, 2027?",,0.11,0.96,0.040000000000000036,0.89,145.07736,63.5546,2028-01-01T05:00:00Z,active,2026-09-04T18:54:32.037765+00:00
polymarket,0xcee7afac20d34bfca0ddafe231f402b105a5ffbaf841fa9c12b1eee4b9031874,16183,"Kraken IPO by June 30, 2027?",,0.18,0.97,0.030000000000000027,0.8200000000000001,62.97625,227.127,2027-07-01T04:00:00Z,active,2026-09-04T18:54:32.037765+00:00
polymarket,0xcba52062bde65f42263306c9dcb935f6be724462ef8df7e2f7528ca7c9a3b4ee,16183,"Kraken IPO by March 31, 2027?",,0.07,0.95,0.050000000000000044,0.9299999999999999,26.029999999999998,72.7688,2027-04-01T04:00:00Z,active,2026-09-04T18:54:32.037765+00:00
polymarket,0xced0cb8725bad43d78fda0cd0e5fa9e31804625cb3502b2c7897f8e8f7fa9e1f,16183,"Kraken IPO by December 31, 2026?",,0.031,0.059,0.9410000000000001,0.969,565905.544658,6046.02468,2027-01-01T05:00:00Z,active,2026-09-04T18:54:32.037765+00:00
polymarket,1642124,16183,"Kraken IPO by June 30, 2026?",,0.0,1.0,0.0,1.0,0.0,0.0,2026-06-30T04:00:00Z,,2026-09-04T18:54:32.037765+00:00
polymarket,0x6301809524e73edb9ab1bd180101ae6d9588ba78075a64c479f334a6d2a12975,16263,Macron out in 2025?,,,0.001,0.999,,1386219.767204,,2026-01-01T04:59:00Z,closed,2026-09-04T18:54:32.037765+00:00
polymarket,0x98e6e35c934b5281f28373b408a129825c6453918fb8bd9dfb8a991be2dd684f,16263,"Macron out by July 31, 2026?",,,0.001,0.999,,60827.430927999994,,2026-08-01T03:59:00Z,closed,2026-09-04T18:54:32.037765+00:00
polymarket,0xda5c517dd5b78c80dec8ceb08ca4f466317633487827d7290332b4851cc4a4fa,16263,"Macron out by June 30, 2026?",,,0.001,0.999,,476199.881442,,2026-07-01T03:59:00Z,closed,2026-09-04T18:54:32.037765+00:00
polymarket,0xc281ddf56886ce5d1dcbfad73c9cb457e8789ed5adff29f95a7b8bcbfeb6ae26,16263,"Macron out by December 31, 2026?",,0.039,0.04,0.96,0.961,22360.988233000004,23408.94805,2027-01-01T04:59:00Z,active,2026-09-04T18:54:32.037765+00:00
polymarket,0xdc7ff8e7d1bf22e6b9f372b3122bf553ed7bfedebc500e76e61aab35d9ebdb8e,16263,"Macron out by October 31, 2025?",,,0.001,0.999,,205624.507422,,2025-11-01T03:59:00Z,closed,2026-09-04T18:54:32.037765+00:00
polymarket,0x6c3493304224c9c89a846a14c67a0510deb1cc5aa69159973f06940d5c6a4fa9,16423,Will the next UK election be called by March 31?,,,0.001,0.999,,577431.026465,,2025-04-01T03:59:00Z,closed,2026-09-04T18:54:32.037765+00:00
polymarket,0xe2682c2d5706520d27adf5f395ba828265b7f592af186f630d1882f3f88801e2,16423,Will the next UK election be called by June 30?,,,0.001,0.999,,56330.877836,0.0,2025-07-01T03:59:00Z,closed,2026-09-04T18:54:32.037765+00:00
polymarket,0xed3848eec7b1b96bd46d8c47b9d6761a304f37ee60a5bc4280e90e4fa2dea4f0,16423,Will the next UK election be called by December 31?,,,0.001,0.999,,91962.29858,,2026-01-01T04:59:00Z,closed,2026-09-04T18:54:32.037765+00:00
