platform,source_market_id,event_id,title,category,yes_bid,yes_ask,no_bid,no_ask,volume,liquidity,close_time,status,pulled_at
kalshi,KXOPUS48Y-27-NA-4,KXOPUS48Y-27,Will Input Token Price of Claude Opus 4.8 be at or below $4/MTok in 2026?,Commodities,0.19,0.23,0.77,0.81,4556.39,0.0,2027-04-01T15:00:00Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXOPUS48Y-27-NA-3,KXOPUS48Y-27,Will Input Token Price of Claude Opus 4.8 be at or below $3/MTok in 2026?,Commodities,0.09,0.16,0.84,0.91,2028.62,0.0,2027-04-01T15:00:00Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXOPUS48Y-27-NA-2,KXOPUS48Y-27,Will Input Token Price of Claude Opus 4.8 be at or below $2/MTok in 2026?,Commodities,0.04,0.1,0.9,0.96,2270.96,0.0,2027-04-01T15:00:00Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXOPUS48Y-27-NA-1,KXOPUS48Y-27,Will Input Token Price of Claude Opus 4.8 be at or below $1/MTok in 2026?,Commodities,0.02,0.08,0.92,0.98,498.66,0.0,2027-04-01T15:00:00Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXHURPATHHAWAII-26DEC,KXHURPATHHAWAII-26DEC,Will a hurricane make landfall in Hawaii during the 2026 hurricane season?,Climate and Weather,0.12,0.19,0.81,0.88,39208.88,0.0,2027-01-01T04:59:00Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXGPT55Y-27-NA-4,KXGPT55Y-27,Will Input Token Price of OpenAI GPT 5.5 be at or below $4/MTok in 2026?,Commodities,0.22,0.29,0.71,0.78,2116.05,0.0,2027-04-01T15:00:00Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXGPT55Y-27-NA-3,KXGPT55Y-27,Will Input Token Price of OpenAI GPT 5.5 be at or below $3/MTok in 2026?,Commodities,0.12,0.18,0.82,0.88,2102.05,0.0,2027-04-01T15:00:00Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXGPT55Y-27-NA-2,KXGPT55Y-27,Will Input Token Price of OpenAI GPT 5.5 be at or below $2/MTok in 2026?,Commodities,0.05,0.12,0.88,0.95,525.89,0.0,2027-04-01T15:00:00Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXGPT55Y-27-NA-1,KXGPT55Y-27,Will Input Token Price of OpenAI GPT 5.5 be at or below $1/MTok in 2026?,Commodities,0.0,0.09,0.91,1.0,797.35,0.0,2027-04-01T15:00:00Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXAVGTKDEN-26SEP06-6,KXAVGTKDEN-26SEP06,"Will the average temperature in Denver be above 90°F for 6 or more consecutive days in the week of Aug 31, 2026?",Climate and Weather,0.0,0.03,0.97,1.0,0.0,0.0,2026-09-07T03:59:59Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXAVGTKDEN-26SEP06-5,KXAVGTKDEN-26SEP06,"Will the average temperature in Denver be above 90°F for 5 or more consecutive days in the week of Aug 31, 2026?",Climate and Weather,0.0,0.03,0.97,1.0,0.0,0.0,2026-09-07T03:59:59Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXAVGTKDEN-26SEP06-4,KXAVGTKDEN-26SEP06,"Will the average temperature in Denver be above 90°F for 4 or more consecutive days in the week of Aug 31, 2026?",Climate and Weather,0.01,0.1,0.9,0.99,48.04,0.0,2026-09-07T03:59:59Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXAVGTKDEN-26SEP06-3,KXAVGTKDEN-26SEP06,"Will the average temperature in Denver be above 90°F for 3 or more consecutive days in the week of Aug 31, 2026?",Climate and Weather,0.01,0.12,0.88,0.99,0.0,0.0,2026-09-07T03:59:59Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXAVGTKDEN-26SEP06-2,KXAVGTKDEN-26SEP06,"Will the average temperature in Denver be above 90°F for 2 or more consecutive days in the week of Aug 31, 2026?",Climate and Weather,0.0,0.18,0.82,1.0,0.0,0.0,2026-09-07T03:59:59Z,active,2026-09-04T23:06:30.554241+00:00
kalshi,KXHIGHTSATX-26SEP05-T96,KXHIGHTSATX-26SEP05,"Will the maximum temperature be <96° on Sep 5, 2026?",Climate and Weather,0.53,0.54,0.46,0.47,629.82,0.0,2026-09-06T06:00:00Z,active,2026-09-04T23:06:30.554241+00:00
