race_id,tier,state,chamber,district,electindex_dem_name,electindex_rep_name,kalshi_dem_candidate_name,kalshi_dem_ticker,kalshi_dem_yes_bid,kalshi_dem_yes_ask,kalshi_dem_yes_ask_size,kalshi_dem_yes_bid_size,kalshi_dem_close_time,kalshi_dem_status,liquidity_note_kalshi_dem,kalshi_rep_candidate_name,kalshi_rep_ticker,kalshi_rep_yes_bid,kalshi_rep_yes_ask,kalshi_rep_yes_ask_size,kalshi_rep_yes_bid_size,kalshi_rep_close_time,kalshi_rep_status,liquidity_note_kalshi_rep,kalshi_unmatched_candidates,kalshi_total_open_candidates,legal_footprint_kalshi,polymarket_dem_candidate_name,polymarket_dem_market_id,polymarket_dem_yes_bid,polymarket_dem_yes_ask,polymarket_dem_liquidity,polymarket_dem_close_time,polymarket_dem_status,liquidity_note_polymarket_dem,polymarket_rep_candidate_name,polymarket_rep_market_id,polymarket_rep_yes_bid,polymarket_rep_yes_ask,polymarket_rep_liquidity,polymarket_rep_close_time,polymarket_rep_status,liquidity_note_polymarket_rep,polymarket_unmatched_candidates,polymarket_total_open_candidates,legal_footprint_polymarket,pulled_at
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,Sara Hernandez,,Sara Hernandez,KXCASEN26-26-SHER,0.81,0.87,5.0,200.0,2027-11-03T15:00:00Z,active,ok,,,,,,,,,,Wendy Carrillo; Sarah Rascón; Sang Masog; Paul A. Bowers; Maebe Pudlo; Juan Camacho; Claudia Agraz,8,,,,,,,,,,,,,,,,,,,0,,2026-09-08T12:45:01.517424+00:00
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,Eric Van Buren,Paul Corderman,Eric Van Buren,KXMDSD2-26-EBUR,0.03,0.09,100.0,200.0,2027-11-03T15:00:00Z,active,ok,Paul Corderman,KXMDSD2-26-PCOR,0.91,0.96,3000.0,100.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,,0,,2026-09-08T12:45:01.517424+00:00
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,Keri Ingle,Jon Patterson,Keri Ingle,KXMOSD8-26-KING,0.29,0.34,5.0,100.0,2027-11-03T15:00:00Z,active,ok,Jon Patterson,KXMOSD8-26-JPAT,0.67,0.74,200.0,92.2,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,,0,,2026-09-08T12:45:01.517424+00:00
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,Brandon Michael Dukes,Scott Timko,Brandon Dukes,KXPAHD12-26-BDUK,0.05,0.98,111.0,100.0,2027-11-03T15:00:00Z,active,ok,Scott Timko,KXPAHD12-26-STIM,0.01,0.97,333.0,50.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,,0,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AK-01,Elections - US House District,AK,,1,(No Democrat),Nick Begich III,,,,,,,,,,,,,,,,,,,Bill Hill; Republican party; Democratic party,3,,,,,,,,,,,,,,,,,,,0,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AL-01,Elections - US House District,AL,,1,Clyde Jones,Jerry Carl,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AL-01 House seat?; Will the Democratic Party win the AL-01 House seat?; Will another party win the AL-01 House seat?; Will A win the AL-01 House seat?; Will B win the AL-01 House seat?; Will C win the AL-01 House seat?; Will D win the AL-01 House seat?; Will E win the AL-01 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AL-02,Elections - US House District,AL,,2,Shomari Figures,Rhett Marques,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AL-02 House seat?; Will the Democratic Party win the AL-02 House seat?; Will another party win the AL-02 House seat?; Will A win the AL-02 House seat?; Will B win the AL-02 House seat?; Will C win the AL-02 House seat?; Will D win the AL-02 House seat?; Will E win the AL-02 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AL-03,Elections - US House District,AL,,3,Lee McInnis,Mike Rogers,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AL-03 House seat?; Will the Democratic Party win the AL-03 House seat?; Will another party win the AL-03 House seat?; Will A win the AL-03 House seat?; Will B win the AL-03 House seat?; Will C win the AL-03 House seat?; Will D win the AL-03 House seat?; Will E win the AL-03 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AL-04,Elections - US House District,AL,,4,Amanda Pusczek,Robert Aderholt,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AL-04 House seat?; Will the Democratic Party win the AL-04 House seat?; Will another party win the AL-04 House seat?; Will A win the AL-04 House seat?; Will B win the AL-04 House seat?; Will C win the AL-04 House seat?; Will D win the AL-04 House seat?; Will E win the AL-04 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AL-05,Elections - US House District,AL,,5,Andrew Sneed,Dale Strong,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AL-05 House seat?; Will the Democratic Party win the AL-05 House seat?; Will another party win the AL-05 House seat?; Will A win the AL-05 House seat?; Will B win the AL-05 House seat?; Will C win the AL-05 House seat?; Will D win the AL-05 House seat?; Will E win the AL-05 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AL-06,Elections - US House District,AL,,6,Maurice Mercer,Gary Palmer,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AL-06 House seat?; Will the Democratic Party win the AL-06 House seat?; Will another party win the AL-06 House seat?; Will A win the AL-06 House seat?; Will B win the AL-06 House seat?; Will C win the AL-06 House seat?; Will D win the AL-06 House seat?; Will E win the AL-06 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AL-07,Elections - US House District,AL,,7,Terri Sewell,Ammie Akin,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AL-07 House seat?; Will the Democratic Party win the AL-07 House seat?; Will another party win the AL-07 House seat?; Will A win the AL-07 House seat?; Will B win the AL-07 House seat?; Will C win the AL-07 House seat?; Will D win the AL-07 House seat?; Will E win the AL-07 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AR-01,Elections - US House District,AR,,1,Terri Green,Rick Crawford,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AR-01 House seat?; Will the Democratic Party win the AR-01 House seat?; Will another party win the AR-01 House seat?; Will A win the AR-01 House seat?; Will B win the AR-01 House seat?; Will C win the AR-01 House seat?; Will D win the AR-01 House seat?; Will E win the AR-01 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AR-02,Elections - US House District,AR,,2,Chris Jones,French Hill,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AR-02 House seat?; Will the Democratic Party win the AR-02 House seat?; Will another party win the AR-02 House seat?; Will A win the AR-02 House seat?; Will B win the AR-02 House seat?; Will C win the AR-02 House seat?; Will D win the AR-02 House seat?; Will E win the AR-02 House seat?,8,,2026-09-08T12:45:01.517424+00:00
US-HOUSE-AR-03,Elections - US House District,AR,,3,Robb Ryerse,Steve Womack,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Will the Republican Party win the AR-03 House seat?; Will the Democratic Party win the AR-03 House seat?; Will another party win the AR-03 House seat?; Will A win the AR-03 House seat?; Will B win the AR-03 House seat?; Will C win the AR-03 House seat?; Will D win the AR-03 House seat?; Will E win the AR-03 House seat?,8,,2026-09-08T12:45:01.517424+00:00
